Category,Name,Description,Usage,State_Variants,CSS_Variables,Code_Snippet,Accessibility_Note,Best_Practices
Atom,Button Primary,High-emphasis action button,"Main call-to-actions, submit forms",Hover/Active/Disabled,--primary-btn-bg,"<button className=""bg-primary hover:bg-primary-600 text-white font-bold py-2 px-4 rounded shadow-lg transition-all"">Action</button>","Ensure min 44x44px touch target. Label must describe action.","Use only one primary button per screen context."
Atom,Button Secondary,Medium-emphasis button,"Cancel, Back, Secondary options",Hover/Active/Disabled,--secondary-btn-bg,"<button className=""bg-transparent border-2 border-slate-200 hover:border-slate-300 text-slate-700 font-semibold py-2 px-4 rounded transition-colors"">Cancel</button>","Contrast ratio must be 4.5:1 against background.","Use for negative or alternative actions."
Atom,Button Ghost,Low-emphasis button,"Icon-only actions, tertiary links",Hover/Active/Disabled,--ghost-btn-bg,"<button className=""text-slate-500 hover:bg-slate-100 p-2 rounded-full transition-colors""><Icon /></button>","Provide aria-label for icon-only buttons.","Great for toolbars and inline actions."
Atom,Input Text,Single-line text field,"User data entry, search",Focus/Error/Disabled,--input-border,"<input type=""text"" className=""w-full border-slate-200 focus:border-primary focus:ring-2 focus:ring-primary/20 rounded-lg px-4 py-2 outline-none transition-shadow"" placeholder=""Type here..."" />","Always associate with a <label>. Use aria-invalid for errors.","Include focus states for keyboard navigation."
Atom,Checkbox,Binary selection control,"Settings, multi-select lists",Checked/Unchecked/Indeterminate,--checkbox-color,"<input type=""checkbox"" className=""w-5 h-5 text-primary rounded border-slate-300 focus:ring-primary"" />","Use a fieldset for grouped checkboxes.","Label should be clickable to toggle."
Atom,Radio,Single selection from list," mutually exclusive options",Selected/Unselected,--radio-color,"<input type=""radio"" className=""w-5 h-5 text-primary border-gray-300 focus:ring-primary"" />","Group with role=""radiogroup"".","Default select the most common option."
Atom,Toggle,Instant on/off switch,"Feature activation, preferences",On/Off,--toggle-bg,"<div className=""w-11 h-6 bg-slate-200 peer-checked:bg-primary rounded-full relative after:content-[''] after:absolute after:top-[2px] after:left-[2px] after:bg-white after:rounded-full after:h-5 after:w-5 after:transition-all peer-checked:after:translate-x-full""></div>","Use role=""switch"" and aria-checked.","Immediate action, no save required."
Atom,Badge,Status indicator,"Labels, counts, status",Success/Warning/Error/Info,--badge-bg,"<span className=""inline-flex items-center px-2.5 py-0.5 rounded-full text-xs font-medium bg-primary-100 text-primary-800"">Badge</span>","Ensure text has sufficient contrast.","Use distinct colors for status (Green=Good, Red=Bad)."
Atom,Avatar,User profile image,"Comments, profile headers",Image/Initials/Icon,--avatar-size,"<img className=""inline-block h-10 w-10 rounded-full ring-2 ring-white"" src=""avatar.jpg"" alt=""User Name"" />","Alt text should differ based on context (decoration vs link).","Fallback to initials if image fails."
Atom,Tooltip,Contextual help text,"Icon explanations, truncated text",Visible/Hidden,--tooltip-bg,"<div className=""absolute bottom-full mb-2 bg-slate-900 text-white text-xs rounded py-1 px-2 shadow-lg"">Tooltip</div>","Trigger on hover and focus. Escape key should dismiss.","Don't put essential info in tooltips."
Molecule,Card,Container for related content,"Dashboard widgets, Product listings",Hover/Selected,--card-bg,"<div className=""bg-white rounded-xl shadow-sm border border-slate-100 p-6 hover:shadow-md transition-shadow"">Content</div>","Heading structure inside card should be logical.","Avoid cluttered content; use whitespace."
Molecule,Glass Card,Premium container,"Modern dashboards, overlays",Hover/Static,--glass-bg,"<div className=""backdrop-blur-xl bg-white/70 border border-white/20 shadow-xl rounded-2xl p-6"">Glass Content</div>","Ensure text contrast on transparent backgrounds.","Use mostly in dark mode or colorful backgrounds."
