No,Category,Guideline,Description,Do,"Don't",Code Good,Code Bad,Severity,Docs URL
1,Signals and state management,"Use signals for reactive state","Signals provide fine-grained reactivity and are preferred over traditional observables for local component state in Angular 19+","Use signal() for component state","Use BehaviorSubject or observables for simple local state","signal(state: MyType)","mySubject = new BehaviorSubject<MyType>(initialValue)","High","https://angular.dev/guide/signals"
2,Signals and state management,"Computed signals for derived state","Use computed() to derive state from other signals automatically","Derive values with computed signals","Manually recalculate derived values","readonly total = computed(() => this.items().length * this.price())","getTotal() { return this.items.length * this.price; }","High","https://angular.dev/guide/signals"
3,Signals and state management,"Use effect() for side effects","Handle side effects like logging or API calls with effect()","Use effect for DOM updates or subscriptions","Use ngOnInit for side effects","effect(() => { console.log('count:', this.count()); })","ngOnInit() { this.data$.subscribe() }","High","https://angular.dev/guide/signals"
4,Signals and state management,"Signals with standalone components","Always use signals in standalone components for optimal performance","Mix signals with Zone.js change detection unnecessarily","Use @Input signals","Use traditional @Input with zone change detection","@Input({alias: 'user'}) user = signal<User | null>(null)","@Input() user!: User;","Medium","https://angular.dev/guide/components/inputs"
5,Signals and state management,"Avoid direct signal mutation","Update signals through their update() or set() methods","Mutate signal values directly","this.count.update(v => v + 1)","this.count()++; // mutation","High","https://angular.dev/guide/signals"
6,Signals and state management,"Use toSignal() for async data","Convert observables to signals for easier consumption","Subscribe to observables in components","readonly user = toSignal(this.userService.getUser())","this.user$ = this.userService.getUser()","High","https://angular.dev/guide/signals"
7,Signals and state management,"Batch signal updates","Use batch() to update multiple signals atomically","Update multiple signals separately causing extra change detection","batch(() => { this.loading.set(true); this.data.set(newData); })","this.loading.set(true); this.data.set(newData);","Medium","https://angular.dev/guide/signals"
8,Signals and state management,"Signal stores for global state","Use signal-based stores for application-wide state management","Use NgRx for simple state needs","store = signalStore({ count: 0 })","Use full NgRx store for counter","Medium","https://angular.dev/guide/signals/stores"
9,Signals and state management,"Untracked signals for performance","Use untracked() to read signals without triggering updates","Read signals unnecessarily causing recomputation","untracked(() => this.user().name)","this.user().name // triggers update","Medium","https://angular.dev/guide/signals"
10,Signals and state management,"Zoneless change detection with signals","Enable zoneless change detection with signal-based apps","Force zone.js patches in signal apps","provideExperimentalZonelessChangeDetection()","bootstrapApplication(AppComponent, {providers: [provideZoneChangeDetection()]})","High","https://angular.dev/guide/change-detection#zoneless"
11,Component architecture,"Use standalone components","Standalone components are default in Angular 19+ - no NgModules needed","Create module-based components","@Component({standalone: true, imports: [...]})","@Component({}) with @NgModule","High","https://angular.dev/guide/components/standalone"
12,Component architecture,"One component per file","Follow Rule of One: one concept per file","Put multiple components in one file","export class UserListComponent {} // user-list.component.ts","Multiple classes in one file","High","https://angular.dev/style-guide#one-concept-per-file"
13,Component architecture,"Use new control flow syntax","Replace *ngIf, *ngFor with @if, @for, @switch","Use deprecated structural directives","@if (user()) { <div>{{user()!.name}}</div> }","@if (condition) {} else {}","High","https://angular.dev/guide/templates/control-flow"
14,Component architecture,"Keep components small (400 lines)","Limit component files to 400 lines max","Create large monolithic components","Break into child components when >400 lines","One 2000-line component","High","https://angular.dev/style-guide#file-size"
