No,Category,Guideline,Description,Do,"Don't",Code Good,Code Bad,Severity,Docs URL
app/routes/dashboard/users.tsx
  return json(await fetchData());
};
  return json(await getPost(params.id));
  <button type="submit">Submit</button>
  <input name="title" />
  return <div>Error!</div>;
  return [{ title: 'Posts' }];
  return [{ rel: 'stylesheet', href: stylesheets.app }];
  <Await resolve={promise}>
    {(data) => <PostList posts={data} />}
  </Await>
  throw new Response('Not found', { status: 404 });
  return [{ title: data?.title }];
  return <PendingUI />;
  dashboard/
    index.tsx
    users.tsx
  const data = await fetch('/api', { headers: { 'Cache-Control': 'public, max-age=300' } });
  return <div>Something went wrong: {error.message}</div>;
  <Await />
26,SolidJS,signals,fine-grained reactivity,Signals track individual values precisely.,Use createSignal for state.,"Don't use object wrappers unnecessarily.","const [count, setCount] = createSignal(0);
<button onclick={() => setCount(count() + 1)}>{count()}</button>","const state = createSignal({ count: 0 })",Critical,https://www.solidjs.com/docs/latest/api#createsignal
27,SolidJS,signals,signal functions not objects,Signals are functions with get/set.,Always call signal() to read.,"Don't treat signals as plain values.","<div>{count()}</div> // Reads reactive","<div>{count}</div> // Static",High,https://www.solidjs.com/docs/latest/api#createsignal
28,SolidJS,stores,deep reactive objects,createStore for nested mutable state.,Use for complex state trees.,"Don't manually propagate nested changes.","const [state, setState] = createStore({ user: { name: '' } });
setState('user', 'name', 'John');","Manual deep cloning",High,https://www.solidjs.com/docs/latest/api#createstore
29,SolidJS,createEffect,side effects only,Run DOM updates/subscriptions in createEffect.,Avoid business logic in effects.,"Don't compute values in effects.","createEffect(() => {
  console.log(`Count: ${count()}`);
});","createEffect for derivations",Medium,https://www.solidjs.com/docs/latest/api#createeffect
30,SolidJS,createMemo,pure computations,Memoize expensive derivations.,Use when computation > signal access.,"Don't use for simple getters.","const doubled = createMemo(() => count() * 2);","computed values in render",High,https://www.solidjs.com/docs/latest/api#creatememo
31,SolidJS,JSX patterns,declarative no Virtual DOM,JSX compiles to direct DOM calls.,Write standard JSX with signals.,"Don't fight reactivity model.","<For each={items()}>{(item) => <div>{item.name}</div>}</For>","Keyed manual lists",Critical,https://www.solidjs.com/docs/latest#jsx
32,SolidJS,reactive primitives,own your reactivity,Build on signals not framework wrappers.,Avoid third-party state libs initially.,"Don't wrap signals unnecessarily.","Direct signal usage","useState adapters",Medium,https://www.solidjs.com/docs/latest/api
33,SolidJS,routing,no client-side routing by default,Use Solid Router or server-first.,Prefer file-based routing.,"Don't hydrate client-only routes.","Solid Start file routing","Client-only <Router>",Medium,https://start.solidjs.com/core-concepts/routing
34,SolidJS,suspense,lazy loading boundaries,Load components async with Suspense.,Split code at route boundaries.,"Don't block on async components.","<Suspense fallback={<div>Loading...</div>}>
  <LazyComponent />
</Suspense>","await import() in render",High,https://www.solidjs.com/docs/latest/api#lazy
35,SolidJS,error boundaries,component-level error recovery,Catch errors without app crash.,Wrap risky sections.,"Don't let errors propagate globally.","<ErrorBoundary fallback={<div>Error!</div>}>
  <RiskyComponent />
</ErrorBoundary>","Global error handler only",High,https://www.solidjs.com/docs/latest/api#createresource
